id,timestamp,website,rating,category,comment
163,2013-10-01 00:34:15,yahoo.com,Green (Safe)," Anonymizing Utilities","testing"
164,2013-10-01 01:23:36,ask.com,Green (Safe)," Anonymizing Utilities","testing &#34;&#34; , &#34; .,.456456 768678 !"
165,2013-10-01 01:35:16,ask.com,Red (Warning)," Anonymizing Utilities","testing"
166,2013-10-01 01:42:22,ask.com,Yellow (Caution)," Anonymizing Utilities","test"
167,2013-10-01 01:44:18,ask.com,Yellow (Caution)," Alcohol","vodkaaaaaaaaaaaaaaaaa"
168,2013-10-01 01:45:07,ask.com,Yellow (Caution)," Anonymizing Utilities","test"
169,2013-10-01 01:45:54,ask.com,Red (Warning)," Anonymizing Utilities","test"
170,2013-10-01 01:53:11,ask.com,Yellow (Caution)," Anonymizing Utilities","test"
171,2013-10-01 01:57:30,ask.com,Green (Safe)," Blogs/Wiki, Search Engines","This is a test to review the rating for &#34;ask.com&#34;, so that it works as expected."
172,2013-10-01 02:15:37,ask.com,Green (Safe)," Art/Culture/Heritage, Auctions/Classifieds, Blogs/Wiki, Chat, Consumer Protection, Content Server, Controversial Opinions, Dating/Personals, Dating/Social Networking","test"
173,2013-10-01 02:25:32,ask.com,Green (Safe)," Anonymizing Utilities, Art/Culture/Heritage, Auctions/Classifieds, Blogs/Wiki, Browser Exploits, Business, Consumer Protection","This is a test to review the rating for &amp;&#35;34;ask.com&amp;&#35;34;, so that it works as expected."
